experiment,num_queries,mrr,avg_latency_seconds,precision_at_5,ndcg_at_5,precision_at_10,ndcg_at_10
bge_small_hybrid_reranker_metadata_msmarco,10,0.8,1.1538,0.62,0.7667,0.59,0.7819
minilm_hybrid_reranker_metadata_msmarco,10,0.7667,1.0367,0.66,0.7733,0.6,0.7781
minilm_semantic_reranker_metadata_msmarco,10,0.77,0.6912,0.64,0.7507,0.6,0.7775
minilm_hybrid_reranker_msmarco,10,0.7643,1.4154,0.66,0.7667,0.58,0.7652
bge_small_hybrid_reranker_msmarco,10,0.8,2.0427,0.64,0.7663,0.57,0.7626
minilm_semantic_reranker_metadata_tinybert,10,0.775,0.2666,0.6,0.7417,0.55,0.7614
minilm_semantic_reranker_msmarco,10,0.7667,1.5556,0.6,0.734,0.57,0.7604
minilm_semantic_reranker_tinybert,10,0.7267,0.467,0.58,0.7216,0.55,0.754
bge_small_hybrid_reranker_metadata_tinybert,10,0.775,0.8451,0.62,0.7334,0.57,0.7521
bge_small_hybrid_reranker_tinybert,10,0.7167,1.0928,0.62,0.7215,0.58,0.7493
bge_small_semantic_reranker_metadata_tinybert,10,0.7393,0.6206,0.58,0.7266,0.52,0.7453
minilm_hybrid_reranker_metadata_tinybert,10,0.775,7.5077,0.6,0.7197,0.56,0.745
minilm_hybrid_reranker_tinybert,10,0.7167,0.7743,0.62,0.7181,0.56,0.7424
bge_small_semantic_reranker_tinybert,10,0.651,0.7143,0.58,0.7097,0.51,0.7276
bge_small_semantic_reranker_metadata_msmarco,10,0.81,0.9934,0.56,0.7403,0.46,0.7245
bge_small_semantic_reranker_msmarco,10,0.8,2.4016,0.58,0.7414,0.44,0.7107
minilm_semantic,10,0.6567,8.461,0.4,0.6187,0.43,0.6689
bge_small_semantic,10,0.6833,1.124,0.42,0.634,0.4,0.6544
bge_small_hybrid,10,0.5333,0.9064,0.32,0.5506,0.37,0.6111
minilm_hybrid,10,0.615,0.6731,0.42,0.5951,0.35,0.5912
keyword,10,0.405,0.3668,0.28,0.4738,0.3,0.5258
