query,experiment,result_id,rank,final_score,semantic_score,keyword_score,hybrid_score,reranker_score,metadata_score
prompt for debugging Python code,minilm_semantic,pk_02512,1,0.2731529474258423,0.2731529474258423,0.0,0.2731529474258423,,
prompt for debugging Python code,minilm_semantic,pk_03855,2,0.2122730016708374,0.2122730016708374,0.0,0.2122730016708374,,
prompt for debugging Python code,minilm_semantic,pk_03805,3,0.19651806354522705,0.19651806354522705,0.0,0.19651806354522705,,
prompt for debugging Python code,minilm_semantic,pk_13771,4,0.18857091665267944,0.18857091665267944,0.0,0.18857091665267944,,
prompt for debugging Python code,minilm_semantic,pk_18500,5,0.1418290138244629,0.1418290138244629,0.0,0.1418290138244629,,
prompt for debugging Python code,minilm_semantic,pk_15432,6,0.13539326190948486,0.13539326190948486,0.0,0.13539326190948486,,
prompt for debugging Python code,minilm_semantic,pk_12307,7,0.12127834558486938,0.12127834558486938,0.0,0.12127834558486938,,
prompt for debugging Python code,minilm_semantic,pk_06356,8,0.11780279874801636,0.11780279874801636,0.0,0.11780279874801636,,
prompt for debugging Python code,minilm_semantic,pk_03708,9,0.09465682506561279,0.09465682506561279,0.0,0.09465682506561279,,
prompt for debugging Python code,minilm_semantic,pk_05431,10,0.09448659420013428,0.09448659420013428,0.0,0.09448659420013428,,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_19093,1,1.0,0.04929083585739136,0.0,0.04929083585739136,1.0,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_15432,2,0.9171821476905039,0.13539326190948486,0.0,0.13539326190948486,0.9171821476905039,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_18500,3,0.9016104362044537,0.1418290138244629,0.0,0.1418290138244629,0.9016104362044537,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_05431,4,0.8896519129620821,0.09448659420013428,0.0,0.09448659420013428,0.8896519129620821,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_02512,5,0.8881991265365411,0.2731529474258423,0.0,0.2731529474258423,0.8881991265365411,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_13036,6,0.8863603969422542,-0.1284775733947754,0.0,-0.1284775733947754,0.8863603969422542,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_12307,7,0.885926103154413,0.12127834558486938,0.0,0.12127834558486938,0.885926103154413,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_03855,8,0.8504758918755879,0.2122730016708374,0.0,0.2122730016708374,0.8504758918755879,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_13611,9,0.8362654362809937,0.04870373010635376,0.0,0.04870373010635376,0.8362654362809937,
prompt for debugging Python code,minilm_semantic_reranker_minilm,pk_13771,10,0.8307534203470608,0.18857091665267944,0.0,0.18857091665267944,0.8307534203470608,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_03805,1,1.0,0.19651806354522705,0.0,0.19651806354522705,1.0,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_02512,2,0.9700045892495921,0.2731529474258423,0.0,0.2731529474258423,0.9700045892495921,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_15432,3,0.947934083515963,0.13539326190948486,0.0,0.13539326190948486,0.947934083515963,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_02577,4,0.9461017355352048,-0.024306535720825195,0.0,-0.024306535720825195,0.9461017355352048,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_13771,5,0.94424215372394,0.18857091665267944,0.0,0.18857091665267944,0.94424215372394,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_07588,6,0.9362751410153778,0.060787320137023926,0.0,0.060787320137023926,0.9362751410153778,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_05431,7,0.9290691043784737,0.09448659420013428,0.0,0.09448659420013428,0.9290691043784737,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_13611,8,0.9266145332009723,0.04870373010635376,0.0,0.04870373010635376,0.9266145332009723,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_19093,9,0.9079953219262223,0.04929083585739136,0.0,0.04929083585739136,0.9079953219262223,
prompt for debugging Python code,minilm_semantic_reranker_tinybert,pk_03855,10,0.8989112333545431,0.2122730016708374,0.0,0.2122730016708374,0.8989112333545431,
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_19093,1,0.9976893382931601,0.04929083585739136,0.0,0.04929083585739136,1.0,0.9845955886210672
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_02512,2,0.8851376391311446,0.2731529474258423,0.0,0.2731529474258423,0.8881991265365411,0.8677892105005645
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_13036,3,0.8437162026223537,-0.1284775733947754,0.0,-0.1284775733947754,0.8863603969422542,0.6020657681429173
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_15432,4,0.8263301425852723,0.13539326190948486,0.0,0.13539326190948486,0.9171821476905039,0.3115021136556272
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_13611,5,0.8040296372060549,0.04870373010635376,0.0,0.04870373010635376,0.8362654362809937,0.6213601091147358
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_13771,6,0.7967318092877332,0.18857091665267944,0.0,0.18857091665267944,0.8307534203470608,0.6039426799515442
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_12307,7,0.7707921842634675,0.12127834558486938,0.0,0.12127834558486938,0.885926103154413,0.11836664388144313
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_18500,8,0.769218309973519,0.1418290138244629,0.0,0.1418290138244629,0.9016104362044537,0.018996261331556102
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_05431,9,0.7666081563603,0.09448659420013428,0.0,0.09448659420013428,0.8896519129620821,0.06936020228353487
prompt for debugging Python code,minilm_semantic_reranker_metadata_minilm,pk_02577,10,0.7501708543291257,-0.024306535720825195,0.0,-0.024306535720825195,0.8141961908012494,0.3873606143204246
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_02512,1,0.954672282437238,0.2731529474258423,0.0,0.2731529474258423,0.9700045892495921,0.8677892105005645
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_19093,2,0.919485361930449,0.04929083585739136,0.0,0.04929083585739136,0.9079953219262223,0.9845955886210672
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_03805,3,0.8986166447372563,0.19651806354522705,0.0,0.19651806354522705,1.0,0.3241109649150426
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_13771,4,0.8931972326580807,0.18857091665267944,0.0,0.18857091665267944,0.94424215372394,0.6039426799515442
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_13611,5,0.8808263695880367,0.04870373010635376,0.0,0.04870373010635376,0.9266145332009723,0.6213601091147358
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_02577,6,0.8622905673529877,-0.024306535720825195,0.0,-0.024306535720825195,0.9461017355352048,0.3873606143204246
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_07588,7,0.8560175768739389,0.060787320137023926,0.0,0.060787320137023926,0.9362751410153778,0.40122471340578514
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_15432,8,0.8524692880369126,0.13539326190948486,0.0,0.13539326190948486,0.947934083515963,0.3115021136556272
prompt for debugging Python code,minilm_semantic_reranker_metadata_tinybert,pk_13036,9,0.8210438836415626,-0.1284775733947754,0.0,-0.1284775733947754,0.8596870804942647,0.6020657681429173
