query,result_id,title,category,subcategory,tags,difficulty,content_preview,relevance
prompt for debugging Python code,pk_02512,fix my code,coding,debugging,"debugging, beginner, python",beginner,my code not working,
prompt for debugging Python code,pk_03855,python problem,coding,debugging,"python, script, runtime",beginner,python script wont run,
prompt for debugging Python code,pk_03805,py code help,coding,python,"debugging, errors, basics",beginner,my python code keeps erroring,
prompt for debugging Python code,pk_13771,python error,coding,debugging,"python, error, bug",beginner,python code error,
prompt for debugging Python code,pk_18500,Kind request if you're not too busy - debugging help needed,coding,debugging,"python, debugging, indentation, errors",beginner,"Good morning dear ChatGPT, I hope you are doing splendidly today! I have a favor to ask if you wouldn't mind. I was writing some code (in Python, my friend is teaching me) and I keep getting an error message that says 'IndentationError' and I don't know what I did wrong. The error points to line 15 ...",
prompt for debugging Python code,pk_15432,HELP THIS PYTHON CODE IS BROKEN,coding,python-debugging,"python, indentation, error, debug",beginner,"why does my python script say ""IndentationError: unexpected indent""?? Heres the code: def hello(): print('hi') print('bye') FIX IT QUICK",
prompt for debugging Python code,pk_12307,PYTHON FUNCTION IS BROKEN,coding,debugging,"python, debugging, function, bug",beginner,my python function returns None when it should return a list i checked everything its probably something stupid just tell me FAST,
prompt for debugging Python code,pk_06356,python error,coding,debugging,"python, error, variable",beginner,python error undefined variable,
prompt for debugging Python code,pk_03708,python error,coding,python,"python, error, debug",beginner,python problem,
prompt for debugging Python code,pk_05431,PYTHON ERROR NEED FIX ASAP,coding,debugging,"python, syntax-error, debugging, indentation",beginner,PYTHON IS THROWING 'IndentationError: unexpected indent' ON LINE 15 OF MY SCRIPT I CHECKED AND IT LOOKS FINE TO ME FIX IT NOW,
prompt for debugging Python code,pk_19093,Debug Python with PDB,debugging,python-debugging,"python, debugging, pdb, recursion",intermediate,Walk me through using Python's pdb debugger to find a bug in this recursive function that's returning incorrect results: {{code_snippet}} Show me how to: 1. Set breakpoints 2. Step through the code 3. Inspect variables 4. Evaluate expressions 5. Navigate the call stack 6. Identify where the logic er...,
prompt for debugging Python code,pk_13036,"Sorry to be a bother, need some debugging help",coding,debugging,"python, debugging, index-error, loop, beginner",beginner,"Dear ChatGPT, Good day to you! My name is Margaret (but everyone calls me Maggie). I'm 74 and I apologize for being such a nuisance but I've been stuck on this coding problem for THREE DAYS now and my daughter says you can help with anything. I was trying to write a simple Python script to count the...",
prompt for debugging Python code,pk_13611,Python async debugging techniques,debugging,python,"python, async, debugging, performance, concurrency",advanced,"Debug why async functions in my Python application are blocking the event loop. Show common mistakes like using blocking calls inside async functions, missing awaits, and incorrect use of synchronous libraries. Provide correct implementations and demonstrate how to identify blocking code using profi...",
prompt for debugging Python code,pk_02577,pyhton code not working,coding,debugging,"python, syntax-error, debugging, help",beginner,my pyhton script keeps giving me a syntax error on line 15 but i dont see anything wrong w it. heres my code:,
prompt for debugging Python code,pk_07588,python broken,coding,python,"python, error, debugging",beginner,python is broken help,
prompt for debugging Python code,pk_07115,Debug data processing pipeline,coding,data-cleaning,"python, debugging, pandas, data-processing, error-fixing",intermediate,"Analyze this Python code snippet that's supposed to clean and merge two datasets but is producing unexpected results. Identify all bugs and logic errors, explain why each causes issues, and provide corrected code. Include error handling for edge cases like empty dataframes, duplicate keys, and type ...",
prompt for debugging Python code,pk_13661,PYTHON IMPORTS ARE BROKEN,coding,python-debugging,"python, pip, import, module, macos",beginner,ModuleNotFoundError: No module named 'requests' — I definitely installed it with pip install requests but its still not working. running on mac btw,
prompt for debugging Python code,pk_07827,Forgive me - struggling with a Python error,coding,debugging,"python, debugging, errors, attributes",intermediate,"Dear ChatGPT, I apologize for disturbing you but I have been stuck on this Python problem for two days now and my wife is starting to wonder why I spend so much time on the computer! I keep getting 'NoneType object has no attribute' error and I think it means something is empty when it shouldn't be ...",
prompt for debugging Python code,pk_13783,pythn code breacks on run,coding,debugging,"python, debugging, error, bug-fix",beginner,i wrote this pythn code and when i run it i get IndexError: list index out of range. can u help me find the bug,
prompt for debugging Python code,pk_14983,Debug memory leak,debugging,memory-analysis,"python, debugging, memory-leak, flask, performance",advanced,"My Python Flask application experiences memory growth over time, reaching 95% server memory after 3 days. What systematic approach should I take to identify the memory leak? Include tools, debugging steps, and common Python memory pitfalls.",
prompt for debugging Python code,pk_02940,Debug Python Memory Leak in Web App,debugging,memory-analysis,"python, memory-leak, debugging, performance, flask, profiling",advanced,"Our Python Flask application experiences gradual memory growth that eventually causes crashes after running for several hours. The memory isn't released even after requests complete. Using memory profiling tools, we've identified that the leak occurs in our data processing module. Analyze the common...",
prompt for debugging Python code,pk_02261,code review plz,coding,code-review,"review, python, feedback",beginner,review my python code,
prompt for debugging Python code,pk_10393,code plz,coding,code-generation,"python, script, automation",intermediate,write a python script that {{does_something}} to {{target_function}},
prompt for debugging Python code,pk_03763,python help,coding,python,"python, learning, basics",beginner,how to learn python from scratch,
prompt for debugging Python code,pk_07189,loop broken,coding,debugging,"python, loops, bug",beginner,python loop not working,
prompt for debugging Python code,pk_00514,help pls,coding,debugging,"debug, broken, help",beginner,debug my code its not working,
prompt for debugging Python code,pk_17576,slow python code,coding,performance,"python, performance, optimization",intermediate,my python code is slow af,
prompt for debugging Python code,pk_11598,Python Code Review,code-review,python,"python, code-review, pep8, best-practices, refactoring",intermediate,"Review this Python code snippet for the following focus area: {{focus_area}}. Identify issues related to PEP 8 compliance, type hints usage, exception handling, and potential performance improvements. Provide specific line-by-line suggestions and rewrite the improved version. [Code will be provided]",
prompt for debugging Python code,pk_11825,python slow,coding,performance,"python, optimization, programming",intermediate,why is my python code so slow,
prompt for debugging Python code,pk_13540,python slow,data-analysis,optimization,"python, speed, performance",advanced,make my python code run faster its so slow,
write something persuasive for customers,pk_07386,customers help,marketing,strategy,"customers, growth, strategy",intermediate,how to get more customers,
write something persuasive for customers,pk_15724,A request if you dont mind helping me,marketing,market-research,"hvac, customer-survey, feedback, service-business",intermediate,Hello there! I hope you are having a nice day. My name is Franklin but everyone calls me Frank. I own a small HVAC company and my marketing guy quit suddenly. I need to create a customer survey to find out what people think about our service. I am not very creative with words and I do not want to so...,
write something persuasive for customers,pk_00018,more customers,marketing,strategy,"customers, growth, help",intermediate,how do i get more customers,
write something persuasive for customers,pk_19915,more customers,marketing,growth,"customers, acquisition, strategy",intermediate,how to get more customers,
write something persuasive for customers,pk_16589,VIP customer handling question,customer-support,escalation-scripts,"vip-customer, loyalty, handling-script, special-treatment",advanced,Hi ChatGPT. We have a customer who has been with us for over 10 years and spends a lot of money with us every year. They called today to complain about a recent experience and were quite upset. I want to write a script for my team about how to handle these VIP customers specially. Things like using ...,
write something persuasive for customers,pk_17296,Design Proactive Churn Prevention Message,templates,churn-prevention,"churn, retention, engagement, outreach, personalization",advanced,"Write a proactive outreach message for customers identified as at-risk for churn based on declining usage patterns. The message should: acknowledge their success with the product initially, express genuine concern about low engagement, offer assistance or a product review call, and include a special...",
write something persuasive for customers,pk_09314,handeling mad ppl,customer-support,escalation-scripts,"de-escalation, difficult-customers, tips",intermediate,some tips on how to handel customers who are being mean or ruge,
